model,configuration,n,macro_f1,accuracy,calls_per_example,p2_activations,p3_activations,final_cr,final_amb,final_cnr,errors_logged,normalized_macro_f1,artifact
GLM-4.7,P1,308,0.558931,0.775974,1.000,0,0,84,197,27,15,0.748018,outputs/openrouter_ablations/glm-4.7_passes_1_20260131_142133/full_results.json
GLM-4.7,P1+P2,308,0.708733,0.759740,1.146,45,0,76,209,23,33,0.708733,outputs/openrouter_ablations/glm-4.7_passes_1_2_20260131_143523/full_results.json
GLM-4.7,P1+P3,308,0.707508,0.720779,1.331,0,102,104,177,27,24,0.707508,outputs/openrouter_ablations/glm-4.7_passes_1_3_20260131_144735/full_results.json
GLM-4.7,P1+P2+P3,308,0.729823,0.753247,1.484,29,120,99,184,25,26,0.729823,outputs/openrouter_ablations/glm-4.7_passes_1_2_3_20260131_145955/full_results.json
DeepSeek-V3.2,P1,308,0.559461,0.733766,1.000,0,0,14,278,16,0,0.559461,outputs/openrouter_ablations/deepseek-v3.2_passes_1_20260131_121628/full_results.json
DeepSeek-V3.2,P1+P3,308,0.627353,0.720779,1.662,0,204,86,210,12,0,0.627353,outputs/openrouter_ablations/deepseek-v3.2_passes_1_3_20260131_122150/full_results.json
DeepSeek-V3.2,P1+P2+P3,308,0.553304,0.672078,1.698,13,202,83,214,11,0,0.553304,outputs/openrouter_ablations/deepseek-v3.2_passes_1_2_3_20260131_122446/full_results.json
Llama-3.3-70B,P1,308,0.410387,0.707792,1.000,0,0,12,292,4,4,0.410387,outputs/openrouter_ablations/llama-3.3-70b-instruct_passes_1_20260131_123000/full_results.json
Llama-3.3-70B,P1+P3,308,0.562665,0.743506,1.938,0,289,46,256,6,3,0.562665,outputs/openrouter_ablations/llama-3.3-70b-instruct_passes_1_3_20260131_123027/full_results.json
Llama-3.3-70B,P1+P2+P3,308,0.536536,0.730519,1.974,7,293,48,255,5,3,0.536536,outputs/openrouter_ablations/llama-3.3-70b-instruct_passes_1_2_3_20260131_123040/full_results.json
